country,region,mountain_id,name,data_source,issue,elevationM_in_app,snow_forecast_elevation_m_live,base_m,summit_m,server_elevation_m,map_pin_terrain_m,metres_below_base,suggested_snow_elevation_m
US,us-nh,dartmouth-skiway,Dartmouth Skiway,catalogue,No base/summit data; uses map-pin elevation,294,256,,,294,289,,
US,us-nh,king-pine,King Pine Ski Area,catalogue,No base/summit data; uses map-pin elevation,147,153,,,147,156,,
US,us-nh,mount-sunapee,Mount Sunapee Resort,catalogue,No base/summit data; uses map-pin elevation,388,330,,,388,393,,
US,us-nh,pats-peak,Pats Peak,catalogue,No base/summit data; uses map-pin elevation,174,172,,,174,175,,
US,us-nh,ragged-mountain-nh,Ragged Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,340,289,,,340,337,,
US,us-nh,tenney-mountain,Tenney Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,604,513,,,604,631,,
US,us-nh,whaleback-mountain,Whaleback Mountain,catalogue,No base/summit data; uses map-pin elevation,348,296,,,348,347,,
US,us-ny,bristol-mountain,Bristol Mountain,catalogue,No base/summit data; uses map-pin elevation,346,294,,,346,365,,
US,us-ny,catamount-mountain-resort,Catamount Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,322,275,,,322,314,,
US,us-ny,greek-peak,Greek Peak Mountain Resort,catalogue,No base/summit data; uses map-pin elevation,410,348,,,410,411,,
US,us-ny,holiday-mountain-ny,Holiday Mountain,catalogue,No base/summit data; uses map-pin elevation,448,381,,,448,469,,
US,us-ny,holiday-valley,Holiday Valley,catalogue,No base/summit data; uses map-pin elevation,488,415,,,488,496,,
US,us-ny,kissing-bridge,Kissing Bridge,catalogue,No base/summit data; uses map-pin elevation,375,319,,,375,380,,
US,us-ny,labrador-mountain,Labrador Mountain,catalogue,No base/summit data; uses map-pin elevation,470,400,,,470,470,,
US,us-ny,mccauley-mountain,McCauley Mountain Ski Area,catalogue,No base/summit data; uses map-pin elevation,530,450,,,530,532,,
US,us-ny,mount-peter,Mount Peter Ski Area,catalogue,No base/summit data; uses map-pin elevation,210,197,,,210,221,,
US,us-ny,peek-n-peak,Peek'n Peak Resort,catalogue,No base/summit data; uses map-pin elevation,430,366,,,430,431,,
US,us-ny,plattekill-mountain,Plattekill Mountain,catalogue,No base/summit data; uses map-pin elevation,737,626,,,737,743,,
US,us-ny,snow-ridge,Snow Ridge Ski Resort,catalogue,No base/summit data; uses map-pin elevation,581,494,,,581,588,,
US,us-ny,song-mountain,Song Mountain,catalogue,No base/summit data; uses map-pin elevation,386,328,,,386,385,,
US,us-ny,swain-resort,Swain Resort,catalogue,No base/summit data; uses map-pin elevation,556,473,,,556,568,,
US,us-ny,thunder-ridge,Thunder Ridge Ski Area,catalogue,No base/summit data; uses map-pin elevation,193,185,,,193,207,,
US,us-ny,titus-mountain,Titus Mountain Family Ski Center,catalogue,No base/summit data; uses map-pin elevation,166,166,,,166,169,,
US,us-ny,west-mountain,West Mountain,catalogue,No base/summit data; uses map-pin elevation,104,123,,,104,107,,
